Metric		Current
CONDITIONAL_COMPLEXITY_COMPONENT_FLOWCONTROLLER_MEDIUM_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_FLOWCONTROLLER_MEDIUM_RISK_PERCENTAGE		0
CONDITIONAL_COMPLEXITY_COMPONENT_FLOWCONTROLLER_MEDIUM_RISK_COUNT		0
CONDITIONAL_COMPLEXITY_COMPONENT_FLOWCONTROLLER_HIGH_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_FLOWCONTROLLER_HIGH_RISK_PERCENTAGE		0
CONDITIONAL_COMPLEXITY_COMPONENT_FLOWCONTROLLER_HIGH_RISK_COUNT		0
CONDITIONAL_COMPLEXITY_COMPONENT_FLOWCONTROLLER_VERY_HIGH_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_FLOWCONTROLLER_VERY_HIGH_RISK_PERCENTAGE		0
CONDITIONAL_COMPLEXITY_COMPONENT_FLOWCONTROLLER_VERY_HIGH_RISK_COUNT		0
CONDITIONAL_COMPLEXITY_COMPONENT_GUITEST_NEGLIGIBLE_RISK_LOC		10
CONDITIONAL_COMPLEXITY_COMPONENT_GUITEST_NEGLIGIBLE_RISK_PERCENTAGE		100
CONDITIONAL_COMPLEXITY_COMPONENT_GUITEST_NEGLIGIBLE_RISK_COUNT		3
CONDITIONAL_COMPLEXITY_COMPONENT_GUITEST_LOW_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_GUITEST_LOW_RISK_PERCENTAGE		0
CONDITIONAL_COMPLEXITY_COMPONENT_GUITEST_LOW_RISK_COUNT		0
CONDITIONAL_COMPLEXITY_COMPONENT_GUITEST_MEDIUM_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_GUITEST_MEDIUM_RISK_PERCENTAGE		0
CONDITIONAL_COMPLEXITY_COMPONENT_GUITEST_MEDIUM_RISK_COUNT		0
CONDITIONAL_COMPLEXITY_COMPONENT_GUITEST_HIGH_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_GUITEST_HIGH_RISK_PERCENTAGE		0
CONDITIONAL_COMPLEXITY_COMPONENT_GUITEST_HIGH_RISK_COUNT		0
CONDITIONAL_COMPLEXITY_COMPONENT_GUITEST_VERY_HIGH_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_GUITEST_VERY_HIGH_RISK_PERCENTAGE		0
CONDITIONAL_COMPLEXITY_COMPONENT_GUITEST_VERY_HIGH_RISK_COUNT		0
CONDITIONAL_COMPLEXITY_COMPONENT_WHMODULE_NEGLIGIBLE_RISK_LOC		49
CONDITIONAL_COMPLEXITY_COMPONENT_WHMODULE_NEGLIGIBLE_RISK_PERCENTAGE		100
CONDITIONAL_COMPLEXITY_COMPONENT_WHMODULE_NEGLIGIBLE_RISK_COUNT		7
CONDITIONAL_COMPLEXITY_COMPONENT_WHMODULE_LOW_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_WHMODULE_LOW_RISK_PERCENTAGE		0
CONDITIONAL_COMPLEXITY_COMPONENT_WHMODULE_LOW_RISK_COUNT		0
CONDITIONAL_COMPLEXITY_COMPONENT_WHMODULE_MEDIUM_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_WHMODULE_MEDIUM_RISK_PERCENTAGE		0
CONDITIONAL_COMPLEXITY_COMPONENT_WHMODULE_MEDIUM_RISK_COUNT		0
CONDITIONAL_COMPLEXITY_COMPONENT_WHMODULE_HIGH_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_WHMODULE_HIGH_RISK_PERCENTAGE		0
CONDITIONAL_COMPLEXITY_COMPONENT_WHMODULE_HIGH_RISK_COUNT		0
CONDITIONAL_COMPLEXITY_COMPONENT_WHMODULE_VERY_HIGH_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_WHMODULE_VERY_HIGH_RISK_PERCENTAGE		0
CONDITIONAL_COMPLEXITY_COMPONENT_WHMODULE_VERY_HIGH_RISK_COUNT		0
CONDITIONAL_COMPLEXITY_COMPONENT_JAVA_NEGLIGIBLE_RISK_LOC		315
CONDITIONAL_COMPLEXITY_COMPONENT_JAVA_NEGLIGIBLE_RISK_PERCENTAGE		84.45
CONDITIONAL_COMPLEXITY_COMPONENT_JAVA_NEGLIGIBLE_RISK_COUNT		39
CONDITIONAL_COMPLEXITY_COMPONENT_JAVA_LOW_RISK_LOC		58
CONDITIONAL_COMPLEXITY_COMPONENT_JAVA_LOW_RISK_PERCENTAGE		15.55
CONDITIONAL_COMPLEXITY_COMPONENT_JAVA_LOW_RISK_COUNT		2
CONDITIONAL_COMPLEXITY_COMPONENT_JAVA_MEDIUM_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_JAVA_MEDIUM_RISK_PERCENTAGE		0
CONDITIONAL_COMPLEXITY_COMPONENT_JAVA_MEDIUM_RISK_COUNT		0
CONDITIONAL_COMPLEXITY_COMPONENT_JAVA_HIGH_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_JAVA_HIGH_RISK_PERCENTAGE		0
CONDITIONAL_COMPLEXITY_COMPONENT_JAVA_HIGH_RISK_COUNT		0
CONDITIONAL_COMPLEXITY_COMPONENT_JAVA_VERY_HIGH_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_JAVA_VERY_HIGH_RISK_PERCENTAGE		0
CONDITIONAL_COMPLEXITY_COMPONENT_JAVA_VERY_HIGH_RISK_COUNT		0
CONDITIONAL_COMPLEXITY_COMPONENT_JS_NEGLIGIBLE_RISK_LOC		10
CONDITIONAL_COMPLEXITY_COMPONENT_JS_NEGLIGIBLE_RISK_PERCENTAGE		100
CONDITIONAL_COMPLEXITY_COMPONENT_JS_NEGLIGIBLE_RISK_COUNT		3
CONDITIONAL_COMPLEXITY_COMPONENT_JS_LOW_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_JS_LOW_RISK_PERCENTAGE		0
CONDITIONAL_COMPLEXITY_COMPONENT_JS_LOW_RISK_COUNT		0
CONDITIONAL_COMPLEXITY_COMPONENT_JS_MEDIUM_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_JS_MEDIUM_RISK_PERCENTAGE		0
CONDITIONAL_COMPLEXITY_COMPONENT_JS_MEDIUM_RISK_COUNT		0
CONDITIONAL_COMPLEXITY_COMPONENT_JS_HIGH_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_JS_HIGH_RISK_PERCENTAGE		0
CONDITIONAL_COMPLEXITY_COMPONENT_JS_HIGH_RISK_COUNT		0
CONDITIONAL_COMPLEXITY_COMPONENT_JS_VERY_HIGH_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_JS_VERY_HIGH_RISK_PERCENTAGE		0
CONDITIONAL_COMPLEXITY_COMPONENT_JS_VERY_HIGH_RISK_COUNT		0
FILE_CHANGE_HISTORY_TOTAL_AGE_DAYS		30
FILE_CHANGE_HISTORY_ACTIVE_DAYS		10
FILE_CHANGE_HISTORY_WEEKS		4
FILE_CHANGE_HISTORY_ESTIMATED_WORKING_DAYS		20
FILE_AGE_NEGLIGIBLE_RISK_COUNT		18
FILE_AGE_LOW_RISK_COUNT		0
FILE_AGE_MEDIUM_RISK_COUNT		0
FILE_AGE_HIGH_RISK_COUNT		0
FILE_AGE_VERY_HIGH_RISK_COUNT		0
FILE_AGE_NEGLIGIBLE_RISK_LOC		529
FILE_AGE_LOW_RISK_LOC		0
FILE_AGE_MEDIUM_RISK_LOC		0
FILE_AGE_HIGH_RISK_LOC		0
FILE_AGE_VERY_HIGH_RISK_LOC		0
NUMBER_OF_CONTRIBUTORS		6
DUPLICATION_NUMBER_OF_DUPLICATES		3
DUPLICATION_NUMBER_OF_FILES_WITH_DUPLICATES		6
